N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
1600,0.25,A,figure1,-0.00359,0.05509,0.00256,0.03429,500,500,500
1600,0.25,B,figure1,-0.00806,0.06217,-0.00135,0.03854,500,500,500
1600,0.5,A,figure1,-0.01293,0.08883,0.00102,0.04052,500,500,500
1600,0.5,B,figure1,-0.01982,0.09989,-0.00333,0.04561,500,500,500
1600,0.75,A,figure1,-0.06066,0.17164,-0.00428,0.04968,500,500,500
1600,0.75,B,figure1,-0.06778,0.18448,-0.00928,0.05637,500,500,500
1800,0.25,A,figure1,-0.00474,0.05203,0.00062,0.03252,500,500,500
1800,0.25,B,figure1,-0.00563,0.0588,0.00289,0.03634,500,500,500
1800,0.5,A,figure1,-0.01244,0.08374,-0.00097,0.03856,500,500,500
1800,0.5,B,figure1,-0.01659,0.09455,0.00171,0.04287,500,500,500
1800,0.75,A,figure1,-0.05319,0.16132,-0.00648,0.04769,500,500,500
1800,0.75,B,figure1,-0.06816,0.17429,-0.00271,0.05231,500,500,500
2000,0.25,A,figure1,-0.00389,0.04937,0.00149,0.03078,500,500,500
2000,0.25,B,figure1,-0.00533,0.05571,0.00137,0.03434,500,500,500
2000,0.5,A,figure1,-0.01181,0.07938,0.00027,0.03636,500,500,500
2000,0.5,B,figure1,-0.01504,0.08943,-0.00067,0.04054,500,500,500
2000,0.75,A,figure1,-0.04771,0.15387,-0.00461,0.0443,500,500,500
2000,0.75,B,figure1,-0.0525,0.16538,-0.00642,0.04972,500,500,500
2200,0.25,A,figure1,-0.00655,0.04686,-0.00037,0.02925,500,500,500
2200,0.25,B,figure1,-0.00493,0.05312,0.00012,0.03281,500,500,500
2200,0.5,A,figure1,-0.01449,0.07532,-0.002,0.03464,500,500,500
2200,0.5,B,figure1,-0.01326,0.08536,-0.00191,0.03873,500,500,500
2200,0.75,A,figure1,-0.0474,0.14542,-0.00795,0.04269,500,500,500
2200,0.75,B,figure1,-0.05044,0.1573,-0.00741,0.04732,500,500,500
2400,0.25,A,figure1,-0.0027,0.04502,-9e-05,0.02802,500,500,500
2400,0.25,B,figure1,-0.00834,0.0507,-0.00168,0.03142,500,500,500
2400,0.5,A,figure1,-0.00902,0.07228,-0.00206,0.03317,500,500,500
2400,0.5,B,figure1,-0.01797,0.08117,-0.0045,0.03722,500,500,500
2400,0.75,A,figure1,-0.03847,0.13939,-0.00818,0.0408,500,500,500
2400,0.75,B,figure1,-0.05353,0.14877,-0.0125,0.04632,500,500,500
2600,0.25,A,figure1,0.00019,0.04335,0.00128,0.0269,500,500,500
2600,0.25,B,figure1,-0.00099,0.04878,8e-05,0.0301,500,500,500
2600,0.5,A,figure1,-0.00294,0.06969,-0.00046,0.03179,500,500,500
2600,0.5,B,figure1,-0.00516,0.07783,-0.00208,0.03562,500,500,500
2600,0.75,A,figure1,-0.02642,0.1341,-0.00631,0.03904,500,500,500
2600,0.75,B,figure1,-0.02946,0.14177,-0.008,0.04393,500,500,500
2800,0.25,A,figure1,-0.0014,0.04172,0.00074,0.02586,500,500,500
2800,0.25,B,figure1,-0.00104,0.04709,0.00137,0.029,500,500,500
2800,0.5,A,figure1,-0.00535,0.06715,-0.00133,0.03056,500,500,500
2800,0.5,B,figure1,-0.0066,0.07545,-0.00143,0.0343,500,500,500
2800,0.75,A,figure1,-0.02403,0.1297,-0.00781,0.0375,500,500,500
2800,0.75,B,figure1,-0.03005,0.13859,-0.00879,0.04233,500,500,500
3000,0.25,A,figure1,-0.00111,0.04024,0.00116,0.025,500,500,500
3000,0.25,B,figure1,0.00086,0.0454,0.00179,0.02798,500,500,500
3000,0.5,A,figure1,-0.00514,0.06473,-0.00032,0.02953,500,500,500
3000,0.5,B,figure1,-0.00396,0.0726,-0.00074,0.03305,500,500,500
3000,0.75,A,figure1,-0.02568,0.12462,-0.00593,0.03598,500,500,500
3000,0.75,B,figure1,-0.02611,0.13281,-0.00739,0.04053,500,500,500
3200,0.25,A,figure1,-0.00413,0.03892,-0.0005,0.02417,500,500,500
3200,0.25,B,figure1,-0.00244,0.04393,0.00082,0.02708,500,500,500
3200,0.5,A,figure1,-0.00989,0.06249,-0.00181,0.02856,500,500,500
3200,0.5,B,figure1,-0.00801,0.07052,-0.00075,0.03197,500,500,500
3200,0.75,A,figure1,-0.03526,0.11969,-0.00773,0.03501,500,500,500
3200,0.75,B,figure1,-0.03124,0.12954,-0.00728,0.03913,500,500,500
3400,0.25,A,figure1,-0.00133,0.03774,0.00051,0.02344,500,500,500
3400,0.25,B,figure1,-0.00299,0.04267,0.00067,0.02626,500,500,500
3400,0.5,A,figure1,-0.00551,0.06072,-0.00136,0.0277,500,500,500
3400,0.5,B,figure1,-0.00862,0.06851,-0.00148,0.03098,500,500,500
3400,0.75,A,figure1,-0.02662,0.11716,-0.00756,0.03401,500,500,500
3400,0.75,B,figure1,-0.03268,0.12586,-0.00838,0.03793,500,500,500
3600,0.25,A,figure1,-0.00317,0.03674,0.00061,0.02284,500,500,500
3600,0.25,B,figure1,0.00079,0.04155,0.00242,0.02549,500,500,500
3600,0.5,A,figure1,-0.00697,0.0591,-0.00098,0.02698,500,500,500
3600,0.5,B,figure1,-0.00273,0.06672,0.00072,0.03002,500,500,500
3600,0.75,A,figure1,-0.02595,0.1141,-0.007,0.03294,500,500,500
3600,0.75,B,figure1,-0.02334,0.12295,-0.00506,0.03648,500,500,500
3800,0.25,A,figure1,0.00012,0.03574,0.00138,0.02216,500,500,500
3800,0.25,B,figure1,-0.00411,0.04018,-0.0003,0.02485,500,500,500
3800,0.5,A,figure1,-0.00331,0.0575,-0.00054,0.02617,500,500,500
3800,0.5,B,figure1,-0.00985,0.06424,-0.00231,0.02935,500,500,500
3800,0.75,A,figure1,-0.02116,0.11086,-0.00672,0.03194,500,500,500
3800,0.75,B,figure1,-0.03265,0.11712,-0.00834,0.03588,500,500,500
4000,0.25,A,figure1,-0.00026,0.03494,0.00196,0.02164,500,500,500
4000,0.25,B,figure1,-0.00238,0.03922,0.00123,0.02424,500,500,500
4000,0.5,A,figure1,-0.0025,0.05636,0.00072,0.02549,500,500,500
4000,0.5,B,figure1,-0.0074,0.06283,-0.00111,0.02867,500,500,500
4000,0.75,A,figure1,-0.01601,0.10921,-0.0044,0.03081,500,500,500
4000,0.75,B,figure1,-0.02796,0.11482,-0.00795,0.03517,500,500,500
4200,0.25,A,figure1,-0.00023,0.03407,0.00056,0.02108,500,500,500
4200,0.25,B,figure1,-0.00104,0.03834,0.00075,0.02365,500,500,500
4200,0.5,A,figure1,-0.00252,0.05494,-0.00097,0.02491,500,500,500
4200,0.5,B,figure1,-0.00543,0.06144,-0.00118,0.02796,500,500,500
4200,0.75,A,figure1,-0.01479,0.10666,-0.00641,0.03037,500,500,500
4200,0.75,B,figure1,-0.02319,0.11259,-0.00725,0.03427,500,500,500
4400,0.25,A,figure1,-0.00165,0.03312,0.00011,0.0206,500,500,500
4400,0.25,B,figure1,-0.00342,0.03731,-0.00113,0.0231,500,500,500
4400,0.5,A,figure1,-0.00522,0.05331,-0.00184,0.02436,500,500,500
4400,0.5,B,figure1,-0.00829,0.05972,-0.00372,0.02736,500,500,500
4400,0.75,A,figure1,-0.02178,0.10314,-0.00793,0.02978,500,500,500
4400,0.75,B,figure1,-0.02817,0.10943,-0.01078,0.03373,500,500,500
4600,0.25,A,figure1,-0.00331,0.03253,0.00026,0.02019,500,500,500
4600,0.25,B,figure1,-0.0031,0.03665,-0.00041,0.0226,500,500,500
4600,0.5,A,figure1,-0.00681,0.05243,-0.00097,0.02385,500,500,500
4600,0.5,B,figure1,-0.00675,0.0588,-0.00213,0.02667,500,500,500
4600,0.75,A,figure1,-0.02295,0.10124,-0.00654,0.02907,500,500,500
4600,0.75,B,figure1,-0.02349,0.10802,-0.00858,0.03257,500,500,500
4800,0.25,A,figure1,-0.00201,0.03177,0.00075,0.01973,500,500,500
4800,0.25,B,figure1,-0.0009,0.03589,0.00017,0.0221,500,500,500
4800,0.5,A,figure1,-0.00643,0.05104,-0.00112,0.02334,500,500,500
4800,0.5,B,figure1,-0.00455,0.0575,-0.00209,0.02611,500,500,500
4800,0.75,A,figure1,-0.02498,0.09799,-0.0077,0.02864,500,500,500
4800,0.75,B,figure1,-0.02222,0.10523,-0.00869,0.03196,500,500,500
5000,0.25,A,figure1,-0.00134,0.03108,0.0007,0.01933,500,500,500
5000,0.25,B,figure1,0.00117,0.03518,0.00179,0.02162,500,500,500
5000,0.5,A,figure1,-0.00597,0.05001,-0.00061,0.02285,500,500,500
5000,0.5,B,figure1,-0.0011,0.05653,0.00014,0.02548,500,500,500
5000,0.75,A,figure1,-0.02535,0.09638,-0.00614,0.02782,500,500,500
5000,0.75,B,figure1,-0.01544,0.10414,-0.00579,0.03095,500,500,500
