N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
4000,0.25,A,figure1,-0.00139,0.04579,0.00272,0.02816,500,500,500
4000,0.25,B,figure1,-0.0039,0.05696,0.00241,0.03534,500,500,500
4000,0.5,A,figure1,-0.00669,0.07348,0.00151,0.03311,500,500,500
4000,0.5,B,figure1,-0.0124,0.09019,0.00034,0.04166,500,500,500
4000,0.75,A,figure1,-0.02835,0.13114,-0.00343,0.03997,500,500,500
4000,0.75,B,figure1,-0.04036,0.15137,-0.00517,0.05074,500,500,500
4200,0.25,A,figure1,-0.00165,0.04449,0.00044,0.02743,500,500,500
4200,0.25,B,figure1,-0.00414,0.05548,0.00067,0.03444,500,500,500
4200,0.5,A,figure1,-0.00702,0.07135,-0.00147,0.03241,500,500,500
4200,0.5,B,figure1,-0.01286,0.08761,-0.00209,0.04066,500,500,500
4200,0.75,A,figure1,-0.0286,0.12743,-0.00744,0.03965,500,500,500
4200,0.75,B,figure1,-0.04012,0.14617,-0.00867,0.04993,500,500,500
4400,0.25,A,figure1,-0.00376,0.04342,-0.00031,0.02682,500,500,500
4400,0.25,B,figure1,-0.00507,0.05417,-0.0019,0.03364,500,500,500
4400,0.5,A,figure1,-0.00947,0.06961,-0.00253,0.03166,500,500,500
4400,0.5,B,figure1,-0.01467,0.08533,-0.00524,0.03986,500,500,500
4400,0.75,A,figure1,-0.03288,0.12451,-0.00936,0.03872,500,500,500
4400,0.75,B,figure1,-0.04538,0.14205,-0.01245,0.04916,500,500,500
4600,0.25,A,figure1,-0.00537,0.04237,-7e-05,0.02622,500,500,500
4600,0.25,B,figure1,-0.00687,0.05303,0.0004,0.03302,500,500,500
4600,0.5,A,figure1,-0.01203,0.06773,-0.00139,0.03095,500,500,500
4600,0.5,B,figure1,-0.0159,0.08373,-0.00053,0.03886,500,500,500
4600,0.75,A,figure1,-0.03593,0.11986,-0.00708,0.03777,500,500,500
4600,0.75,B,figure1,-0.04512,0.13975,-0.00573,0.04714,500,500,500
4800,0.25,A,figure1,-0.00134,0.04155,0.00143,0.0256,500,500,500
4800,0.25,B,figure1,-0.00741,0.052,-0.00061,0.03234,500,500,500
4800,0.5,A,figure1,-0.0057,0.06639,-0.00032,0.03017,500,500,500
4800,0.5,B,figure1,-0.01519,0.08223,-0.00173,0.03814,500,500,500
4800,0.75,A,figure1,-0.02382,0.11795,-0.00664,0.03676,500,500,500
4800,0.75,B,figure1,-0.0408,0.13775,-0.0061,0.04618,500,500,500
5000,0.25,A,figure1,-0.00178,0.04061,0.00062,0.02505,500,500,500
5000,0.25,B,figure1,-0.00139,0.05098,0.00256,0.03152,500,500,500
5000,0.5,A,figure1,-0.00809,0.06492,-0.00133,0.02957,500,500,500
5000,0.5,B,figure1,-0.00868,0.08071,0.00067,0.03711,500,500,500
5000,0.75,A,figure1,-0.03055,0.11506,-0.00763,0.03608,500,500,500
5000,0.75,B,figure1,-0.03472,0.13509,-0.00549,0.04509,500,500,500
